text,author,note
Be in search of fun everyday,Jonah
If you learn from your mistakes you are a master. If you judge your mistake you are a slave.,Jonah
This is your life what do you want to do with it?,Jonah,Feb-2025 Intensive
Learning to feel is feeling to learn.,Jonah,Thanks Aliona!
To learn is to change. To change is to learn.,Jonah,Thanks Aliona!
An obstacle in your path is presented to see how you deal with that obstacle.,Jonah,Success and Failure message
Intent is the building block of the outcome.,Jonah,Sleep message
Problems come cheap and easy they leave expensive and painful.,Chineese wisdom
The journey of a thousand miles begins with a single step.,Lao Tzu
In the middle of every difficulty lies opportunity.,Albert Einstein
It does not matter how slowly you go as long as you do not stop.,Confucius
Life is what happens when you're busy making other plans.,John Lennon
The unexamined life is not worth living.,Socrates
Spread love everywhere you go. Let no one ever come to you without leaving happier.,Mother Teresa
When you reach the end of your rope tie a knot in it and hang on.,Franklin D. Roosevelt
Always remember that you are absolutely unique. Just like everyone else.,Margaret Mead
Do not go where the path may lead; go instead where there is no path and leave a trail.,Ralph Waldo Emerson
You will face many defeats in life but never let yourself be defeated.,Maya Angelou
The greatest glory in living lies not in never falling but in rising every time we fall.,Nelson Mandela
In the end it's not the years in your life that count. It's the life in your years.,Abraham Lincoln
Never let the fear of striking out keep you from playing the game.,Babe Ruth
Life is either a daring adventure or nothing at all.,Helen Keller
Many of life's failures are people who did not realize how close they were to success when they gave up.,Thomas A. Edison
You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose.,Dr. Seuss
If life were predictable it would cease to be life and be without flavor.,Eleanor Roosevelt
If you look at what you have in life you'll always have more.,Oprah Winfrey
If you want to live a happy life tie it to a goal not to people or things.,Albert Einstein
